SIZE,TIME
1,22
11,193
21,606
31,1050
41,1724
51,2646
61,3889
71,5003
81,6466
91,8095
101,9733
111,12067
121,13833
131,16001
141,12400
151,12335
161,14609
171,15521
181,17303
191,19779
201,21264
211,24347
221,25566
231,28044
241,30335
251,32562
261,35330
271,37801
281,40414
291,43975
301,46180
311,49218
321,52503
331,55424
341,58776
351,62290
361,66430
371,69143
381,73830
391,76513
401,80534
411,85019
421,88368
431,92649
441,97074
451,101059
461,105526
471,110669
481,114631
491,119554
501,124331
511,128978
521,133978
531,139258
541,144539
551,150207
561,154830
571,162108
581,166030
591,172029
601,178641
611,184224
621,189186
631,195132
641,202908
651,207372
661,214156
671,221498
681,227597
691,233798
701,239866
711,248474
721,254495
731,260415
741,268011
751,275630
761,283739
771,290645
781,296632
791,305583
801,313859
811,319946
821,327416
831,335769
841,343445
851,352588
861,360854
871,367713
881,377808
891,386183
901,395709
911,402250
921,411256
931,419497
941,429686
951,439058
961,446075
971,457186
981,464907
991,479020
