SIZE,TIME
1,21
11,527
21,1142
31,1770
41,2410
51,3632
61,3722
71,4424
81,5111
91,5787
101,6508
111,7217
121,7948
131,8621
141,10019
151,10094
161,10875
171,11714
181,12989
191,13085
201,13883
211,14623
221,15884
231,16168
241,16958
251,18331
261,18580
271,19979
281,20028
291,20792
301,22425
311,22461
321,23718
331,23952
341,25627
351,26047
361,26382
371,28058
381,27994
391,29432
401,30487
411,31209
421,31257
431,32873
441,33515
451,33769
461,35526
471,35960
481,36726
491,37095
501,38440
511,39706
521,40127
531,41234
541,41779
551,43011
561,43529
571,44802
581,45446
591,46750
601,46957
611,48758
621,48180
631,49648
641,51223
651,50541
661,52088
671,54462
681,53196
691,55555
701,54914
711,56752
721,56719
731,60033
741,58398
751,59467
761,61476
771,61035
781,62372
791,63582
801,64653
811,64770
821,66064
831,66889
841,67369
851,68744
861,69196
871,71162
881,71464
891,71752
901,75163
911,74609
921,76308
931,75785
941,76038
951,78369
961,78548
971,80005
981,82239
991,84605
