,ASCENDING,RIGHT,ASCENDING,RANDOM,DESCENDING,RIGHT,DESCENDING,RANDOM,UNSORTED,RIGHT,UNSORTED,RANDOM
TRIAL,SIZE,TIME,SIZE,TIME,SIZE,TIME,SIZE,TIME,SIZE,TIME,SIZE,TIME
1,10,116,10,471,10,102,10,469,10,1252,10,3624
2,20,439,20,1080,20,302,20,1078,20,1412,20,3215
3,30,1057,30,1710,30,567,30,1670,30,4269,30,3764
4,40,1645,40,2324,40,985,40,2317,40,2155,40,3565
5,50,2479,50,2946,50,1461,50,2959,50,3052,50,2952
6,60,3497,60,3641,60,2141,60,3625,60,2648,60,3678
7,70,4752,70,4810,70,2819,70,4320,70,2699,70,4233
8,80,6157,80,5014,80,3650,80,4994,80,3288,80,8412
9,90,7793,90,5719,90,4593,90,5711,90,4599,90,7873
10,100,9518,100,6456,100,5637,100,6403,100,5417,100,8690
11,110,12056,110,7123,110,6680,110,7722,110,6407,110,6847
12,120,13266,120,7914,120,7878,120,7831,120,7298,120,7464
13,130,15517,130,8548,130,9212,130,8516,130,8622,130,8217
14,140,15166,140,9293,140,10567,140,9279,140,10200,140,8867
15,150,12058,150,10641,150,12100,150,10019,150,11339,150,11528
16,160,13591,160,10768,160,13642,160,10768,160,12851,160,10352
17,170,15285,170,11499,170,15394,170,11506,170,14470,170,11010
18,180,17062,180,12248,180,17122,180,12871,180,15948,180,11751
19,190,19734,190,13541,190,18914,190,13095,190,17632,190,12459
20,200,21125,200,13770,200,20895,200,13782,200,18986,200,14256
21,210,23276,210,14570,210,22885,210,14552,210,21381,210,13990
22,220,25370,220,15801,220,25073,220,15389,220,24307,220,14644
23,230,27605,230,16140,230,27282,230,16624,230,26727,230,17068
24,240,30191,240,16888,240,29626,240,16898,240,27639,240,16141
25,250,32384,250,18159,250,32044,250,17602,250,30650,250,16915
26,260,34995,260,18360,260,35470,260,18391,260,32780,260,17661
27,270,37544,270,19203,270,37135,270,19787,270,36627,270,18817
28,280,40184,280,20428,280,39941,280,20408,280,37906,280,19714
29,290,43037,290,20818,290,42762,290,20785,290,41039,290,21483
30,300,46192,300,22166,300,45587,300,22184,300,44244,300,20692
31,310,49637,310,22345,310,48549,310,22469,310,45223,310,21678
32,320,52059,320,23734,320,52449,320,23324,320,49585,320,22269
33,330,55145,330,23904,330,54780,330,24638,330,52452,330,23078
34,340,58470,340,25436,340,58034,340,24770,340,55991,340,24840
35,350,62510,350,25510,350,61433,350,25739,350,58541,350,24571
36,360,65958,360,26907,360,64831,360,26969,360,60438,360,25445
37,370,68830,370,27646,370,68410,370,27139,370,65744,370,26348
38,380,72527,380,27937,380,72643,380,28543,380,68086,380,27013
39,390,76241,390,29259,390,75946,390,28854,390,70845,390,28512
40,400,80069,400,30230,400,79625,400,30258,400,76366,400,29449
41,410,84351,410,30437,410,83518,410,30516,410,81203,410,30303
42,420,88724,420,31905,420,87631,420,32062,420,83662,420,31578
43,430,93173,430,32792,430,91701,430,32145,430,88602,430,32845
44,440,96397,440,33620,440,97406,440,33522,440,93765,440,31834
45,450,101017,450,34730,450,101186,450,33845,450,94835,450,32519
46,460,105209,460,34553,460,104573,460,35082,460,97933,460,33473
47,470,111172,470,35923,470,110685,470,35954,470,104981,470,34354
48,480,114376,480,36594,480,113695,480,36217,480,109973,480,35778
49,490,119570,490,37031,490,118385,490,37737,490,113087,490,36125
50,500,125065,500,38499,500,123313,500,38651,500,118783,500,37256
51,510,128644,510,39364,510,130008,510,39432,510,122931,510,37489
52,520,133513,520,40326,520,133764,520,39604,520,128058,520,38381
53,530,138731,530,40386,530,138622,530,41060,530,128955,530,39113
54,540,145766,540,42523,540,143247,540,41982,540,134828,540,40995
55,550,151681,550,42736,550,148363,550,42803,550,142817,550,40853
56,560,154389,560,43138,560,153930,560,43904,560,147252,560,41728
57,570,159984,570,44525,570,161385,570,44671,570,152004,570,42531
58,580,165569,580,44811,580,165335,580,45259,580,157399,580,43462
59,590,172134,590,46308,590,170262,590,46287,590,164230,590,45823
60,600,177358,600,47164,600,175963,600,47133,600,167037,600,45037
61,610,184506,610,47878,610,181926,610,48208,610,187091,610,45762
62,620,188321,620,48044,620,187738,620,49163,620,190654,620,46686
63,630,194982,630,49842,630,194238,630,50328,630,185103,630,48238
64,640,200701,640,51987,640,202084,640,50512,640,194580,640,56396
65,650,206986,650,50802,650,207371,650,51737,650,195211,650,51069
66,660,213064,660,52289,660,212537,660,51576,660,204030,660,52554
67,670,220050,670,53231,670,218676,670,53093,670,206626,670,53640
68,680,227870,680,53284,680,225150,680,53603,680,213014,680,53349
69,690,233126,690,54939,690,231896,690,54828,690,221868,690,54748
70,700,239133,700,55511,700,239015,700,55711,700,228016,700,55590
71,710,245921,710,56563,710,245206,710,55982,710,233380,710,56575
72,720,273501,720,57425,720,253006,720,57866,720,242935,720,56698
73,730,269657,730,58248,730,260740,730,58630,730,250791,730,58226
74,740,267674,740,58757,740,266384,740,59354,740,254587,740,59161
75,750,274337,750,60117,750,273206,750,59789,750,259655,750,60373
76,760,282617,760,61042,760,282236,760,61080,760,267245,760,61032
77,770,290426,770,62292,770,288436,770,62163,770,277684,770,61931
78,780,296291,780,63029,780,295460,780,62962,780,282020,780,62962
79,790,303635,790,63136,790,303636,790,63741,790,286558,790,63594
80,800,311225,800,64436,800,313120,800,64628,800,302782,800,64419
81,810,319631,810,65247,810,320652,810,65376,810,304352,810,65403
82,820,326883,820,66246,820,326895,820,66318,820,312843,820,66995
83,830,335686,830,67763,830,335847,830,67265,830,315340,830,67116
84,840,344962,840,68233,840,341496,840,68245,840,325167,840,68245
85,850,350492,850,69111,850,349543,850,69067,850,333108,850,69735
86,860,360678,860,69676,860,358638,860,70286,860,338939,860,69974
87,870,368698,870,70826,870,366370,870,91132,870,352350,870,71241
88,880,375299,880,72203,880,375870,880,109722,880,358690,880,71898
89,890,384328,890,73204,890,386750,890,110474,890,365084,890,73224
90,900,393338,900,73595,900,394663,900,112405,900,372615,900,73614
91,910,403570,910,107840,910,402741,910,113199,910,377470,910,75166
92,920,412642,920,77309,920,412284,920,115051,920,384233,920,75297
93,930,420890,930,76174,930,417555,930,116241,930,396039,930,76719
94,940,431741,940,77173,940,426550,940,116994,940,407503,940,77716
95,950,438546,950,78376,950,436635,950,106555,950,418368,950,78046
96,960,447135,960,78761,960,444937,960,79830,960,429222,960,79354
97,970,456492,970,79779,970,455190,970,80604,970,430952,970,80471
98,980,466585,980,80734,980,465224,980,81519,980,437448,980,81214
99,990,473627,990,82075,990,476366,990,81799,990,451353,990,82472
100,1000,483013,1000,82765,1000,485141,1000,83082,1000,467113,1000,82587
