SIZE,TIME
1,211
11,4367
21,2949
31,3664
41,1072
51,1503
61,2118
71,2769
81,3625
91,4306
101,5477
111,6373
121,7855
131,8697
141,9779
151,11766
161,12956
171,14760
181,17121
191,18380
201,19976
211,21854
221,24248
231,26905
241,28000
251,31116
261,32383
271,36034
281,39298
291,40491
301,43143
311,46987
321,49403
331,52449
341,54684
351,59194
361,63690
371,67335
381,69444
391,73465
401,76772
411,79621
421,80455
431,88988
441,92079
451,96195
461,98996
471,105485
481,108113
491,108634
501,117130
511,122739
521,126737
531,134781
541,136051
551,140759
561,148119
571,149558
581,159976
591,163774
601,168715
611,172972
621,181876
631,186063
641,190063
651,201114
661,201775
671,211021
681,213856
691,220477
701,228340
711,237479
721,241409
731,248145
741,253029
751,261230
761,265347
771,265774
781,282785
791,289280
801,299734
811,301095
821,310882
831,321859
841,323716
851,335494
861,341259
871,352160
881,357408
891,414070
901,375248
911,386080
921,395703
931,397827
941,411809
951,412578
961,429382
971,435952
981,440086
991,446431
